Date,Target
2018-10-23,5796.0
2018-10-24,6634.0
2018-10-25,6634.0
2018-10-26,6774.0
2018-10-27,4190.0
2018-10-28,3352.0
2018-10-29,5866.0
2018-10-30,7053.0
2018-10-31,6006.0
2018-11-01,7542.0
2018-11-02,7053.0
2018-11-03,5308.0
2018-11-04,4330.0
2018-11-05,8380.0
2018-11-06,6774.0
2018-11-07,7542.0
2018-11-08,8869.0
2018-11-09,5727.0
2018-11-10,4958.0
2018-11-11,3492.0
2018-11-12,7612.0
2018-11-13,9568.0
2018-11-14,9079.0
2018-11-15,16691.0
2018-11-16,9079.0
2018-11-17,5866.0
2018-11-18,4749.0
2018-11-19,8869.0
2018-11-20,7682.0
2018-11-21,8799.0
2018-11-22,3771.0
2018-11-23,6774.0
2018-11-24,4749.0
2018-11-25,4889.0
2018-11-26,10056.0
2018-11-27,9218.0
2018-11-28,7822.0
2018-11-29,7891.0
2018-11-30,7612.0
2018-12-01,5238.0
2018-12-02,4819.0
2018-12-03,7612.0
2018-12-04,7263.0
2018-12-05,6704.0
2018-12-06,7403.0
2018-12-07,6285.0
2018-12-08,3911.0
2018-12-09,3911.0
2018-12-10,8101.0
2018-12-11,8241.0
2018-12-12,7961.0
2018-12-13,8660.0
2018-12-14,8380.0
2018-12-15,5377.0
2018-12-16,4470.0
2018-12-17,7822.0
2018-12-18,10056.0
2018-12-19,9149.0
2018-12-20,8869.0
2018-12-21,6704.0
2018-12-22,4819.0
2018-12-23,3073.0
2018-12-24,4190.0
2018-12-25,2933.0
2018-12-26,7542.0
2018-12-27,7053.0
2018-12-28,6634.0
2018-12-29,3631.0
2018-12-30,3701.0
2018-12-31,5796.0
2019-01-01,4539.0
2019-01-02,8590.0
2019-01-03,8101.0
2019-01-04,7682.0
2019-01-05,4609.0
2019-01-06,3562.0
2019-01-07,8590.0
2019-01-08,6774.0
2019-01-09,9009.0
2019-01-10,8380.0
2019-01-11,6984.0
2019-01-12,4539.0
2019-01-13,4260.0
2019-01-14,7612.0
2019-01-15,7752.0
2019-01-16,7752.0
2019-01-17,8380.0
2019-01-18,7682.0
2019-01-19,3701.0
2019-01-20,4400.0
2019-01-21,6355.0
2019-01-22,6774.0
2019-01-23,7891.0
2019-01-24,6355.0
2019-01-25,6984.0
2019-01-26,4609.0
2019-01-27,3352.0
2019-01-28,6355.0
2019-01-29,5866.0
2019-01-30,7822.0
2019-01-31,8939.0
2019-02-01,7682.0
2019-02-02,5796.0
2019-02-03,3841.0
2019-02-04,6704.0
2019-02-05,8590.0
2019-02-06,7822.0
2019-02-07,8799.0
2019-02-08,7263.0
2019-02-09,4819.0
2019-02-10,2793.0
2019-02-11,7542.0
2019-02-12,7961.0
2019-02-13,8380.0
2019-02-14,8101.0
2019-02-15,7123.0
2019-02-16,5308.0
2019-02-17,3841.0
2019-02-18,6285.0
2019-02-19,6984.0
2019-02-20,8031.0
2019-02-21,7333.0
2019-02-22,7822.0
2019-02-23,4819.0
2019-02-24,4470.0
2019-02-25,8101.0
2019-02-26,8101.0
2019-02-27,9707.0
2019-02-28,10196.0
2019-03-01,7333.0
2019-03-02,6006.0
2019-03-03,4260.0
2019-03-04,8660.0
2019-03-05,7403.0
2019-03-06,7891.0
2019-03-07,7333.0
2019-03-08,7403.0
